pnemeonic,opcode,pc_src,reg_write,branch,jump,alu_op,operandB_src,sel_alu_control,mem_read,mem_write,mem_to_reg
SPECIAL,000000,0,1,0,0,1111,0,0,0,0,0
J,000010,1,0,0,1,1111,0,1,0,0,0
BEQ,000011,1,0,1,0,1111,0,1,0,0,0
ADDI,001000,0,1,0,0,0000,1,1,0,0,0
ADDIU,001001,0,1,0,0,0001,1,1,0,0,0
SLTI,001010,0,1,0,0,0010,1,1,0,0,0
SLTIU,001011,0,1,0,0,0011,1,1,0,0,0
ANDI,001100,0,1,0,0,0100,1,1,0,0,0
ORI,001101,0,1,0,0,0101,1,1,0,0,0
XORI,001110,0,1,0,0,0110,1,1,0,0,0
LUI,001111,0,1,0,0,0111,1,1,0,0,0
LW,100011,0,0,0,0,0001,1,1,1,0,1
SW,101011,0,1,0,0,0001,1,1,0,1,0
